commit	quality_score	gate_pass	M1_palette	M2_dominant	M3_cct	M4_msssim	M5_edge	M6_texture	M7_vmaf	M8_temporal	M9_layer_indep	M10_role_cohere	model_version	elapsed_ms	status	description
none	0.5680	1	0.6412	0.6315	0.6005	0.2711	0.5709	0.6510	0.1862	0.9999	0.1645	0.9000	local-2026-03-29	205347	discard	exp #1
none	0.5684	1	0.6233	0.6800	0.5113	0.2733	0.6015	0.7201	0.1733	0.9999	0.1645	0.9000	local-2026-03-29	137956	discard	exp #2
none	0.5529	1	0.6205	0.6352	0.4306	0.2739	0.5781	0.7258	0.1828	0.9999	0.1637	0.9000	local-2026-03-29	193753	discard	exp #3
none	0.0000	0	0.3606	0.5043	0.5406	0.0891	0.2293	0.0000	0.5000	0.9999	0.1645	0.9000	local-2026-03-29	200029	discard	exp #4
none	0.5620	1	0.6296	0.6355	0.5072	0.2785	0.6070	0.6934	0.1723	0.9999	0.1645	0.9000	local-2026-03-29	219237	discard	exp #5
none	0.5649	1	0.6186	0.6720	0.5107	0.2760	0.6067	0.6845	0.1768	0.9999	0.1645	0.9000	local-2026-03-29	170237	discard	exp #6
none	0.5684	1	0.6233	0.6800	0.5113	0.2733	0.6015	0.7201	0.1733	0.9999	0.1645	0.9000	local-2026-03-29	199267	discard	exp #7
none	0.5525	1	0.6134	0.6921	0.3735	0.2850	0.5876	0.7230	0.1728	0.9999	0.1642	0.9000	local-2026-03-29	186847	discard	exp #8
none	0.5684	1	0.6233	0.6800	0.5113	0.2733	0.6015	0.7201	0.1733	0.9999	0.1645	0.9000	local-2026-03-29	198505	discard	exp #9
none	0.0000	0	0.5873	0.6929	0.2790	0.2641	0.5685	0.7382	0.1801	0.9999	0.1155	0.8667	local-2026-03-29	167533	discard	exp #10
none	0.5404	1	0.5801	0.7017	0.2618	0.2643	0.5667	0.7315	0.1798	0.9999	0.2549	0.8667	local-2026-03-29	152994	discard	exp #11
none	0.5220	1	0.5811	0.6385	0.2431	0.2482	0.5573	0.6331	0.1935	0.9999	0.2549	0.8667	local-2026-03-29	158662	discard	exp #12
6e6254d	0.5970	1	0.6119	0.6927	0.5799	0.2604	0.5933	0.8366	0.1745	0.9999	0.3216	0.8667	local-2026-03-29	204234	keep	exp #13
none	0.5851	1	0.6278	0.7035	0.5334	0.2595	0.5938	0.8439	0.1768	0.9999	0.1845	0.9000	local-2026-03-29	156492	discard	exp #14
none	0.5813	1	0.6124	0.6500	0.5072	0.2716	0.6169	0.7795	0.1738	0.9999	0.3178	0.8667	local-2026-03-29	166008	discard	exp #15
none	0.5977	1	0.6183	0.6959	0.5800	0.2609	0.5930	0.8285	0.1766	0.9999	0.3216	0.8667	local-2026-03-29	162402	discard	exp #16
none	0.5984	1	0.6240	0.6898	0.5760	0.2614	0.5960	0.8430	0.1740	0.9999	0.3216	0.8667	local-2026-03-29	198181	discard	exp #17
none	0.6021	1	0.6241	0.7181	0.5745	0.2609	0.5946	0.8537	0.1725	0.9999	0.3216	0.8667	local-2026-03-29	156351	discard	exp #18
none	0.6025	1	0.6201	0.7216	0.5717	0.2614	0.5977	0.8615	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	157718	discard	exp #19
none	0.6015	1	0.6134	0.7180	0.5694	0.2612	0.5964	0.8704	0.1694	0.9999	0.3216	0.8667	local-2026-03-29	137697	discard	exp #20
none	0.6012	1	0.6194	0.7161	0.5712	0.2615	0.5944	0.8571	0.1720	0.9999	0.3216	0.8667	local-2026-03-29	138595	discard	exp #21
none	0.6014	1	0.6157	0.7193	0.5715	0.2614	0.5956	0.8600	0.1711	0.9999	0.3216	0.8667	local-2026-03-29	196358	discard	exp #22
none	0.6023	1	0.6227	0.7170	0.5730	0.2612	0.5975	0.8587	0.1718	0.9999	0.3216	0.8667	local-2026-03-29	156398	discard	exp #23
none	0.6018	1	0.6181	0.7160	0.5706	0.2612	0.5976	0.8665	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	142895	discard	exp #24
none	0.6026	1	0.6189	0.7237	0.5713	0.2610	0.5959	0.8637	0.1709	0.9999	0.3216	0.8667	local-2026-03-29	136319	discard	exp #25
none	0.6025	1	0.6226	0.7194	0.5733	0.2613	0.5983	0.8572	0.1722	0.9999	0.3216	0.8667	local-2026-03-29	135855	discard	exp #26
none	0.6016	1	0.6163	0.7206	0.5699	0.2614	0.5956	0.8618	0.1709	0.9999	0.3216	0.8667	local-2026-03-29	137105	discard	exp #27
none	0.6034	1	0.6183	0.7215	0.5753	0.2642	0.5967	0.8678	0.1713	0.9999	0.3216	0.8667	local-2026-03-29	138034	discard	exp #28
none	0.6010	1	0.6152	0.7202	0.5680	0.2581	0.5997	0.8596	0.1701	0.9999	0.3216	0.8667	local-2026-03-29	136153	discard	exp #29
none	0.6022	1	0.6225	0.7190	0.5720	0.2617	0.5961	0.8597	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	134486	discard	exp #30
none	0.6001	1	0.6201	0.6937	0.5724	0.2605	0.5982	0.8701	0.1715	0.9999	0.3216	0.8667	local-2026-03-29	137788	discard	exp #31
none	0.6032	1	0.6198	0.7215	0.5766	0.2640	0.5936	0.8641	0.1715	0.9999	0.3216	0.8667	local-2026-03-29	139419	discard	exp #32
none	0.6045	1	0.6236	0.7222	0.5743	0.2643	0.5964	0.8751	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	138237	discard	exp #33
none	0.5996	1	0.6207	0.6873	0.5747	0.2647	0.5971	0.8657	0.1717	0.9999	0.3216	0.8667	local-2026-03-29	137444	discard	exp #34
none	0.6022	1	0.6252	0.7057	0.5756	0.2641	0.5946	0.8663	0.1717	0.9999	0.3216	0.8667	local-2026-03-29	135609	discard	exp #35
none	0.6031	1	0.6147	0.7229	0.5768	0.2642	0.5978	0.8619	0.1724	0.9999	0.3216	0.8667	local-2026-03-29	136543	discard	exp #36
none	0.6025	1	0.6201	0.7216	0.5717	0.2614	0.5977	0.8615	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	135559	discard	exp #37
none	0.6025	1	0.6201	0.7216	0.5717	0.2614	0.5977	0.8615	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	135289	discard	exp #38
none	0.6025	1	0.6201	0.7216	0.5717	0.2614	0.5977	0.8615	0.1705	0.9999	0.3216	0.8667	local-2026-03-29	136542	discard	exp #39
none	0.6016	1	0.6217	0.6944	0.5769	0.2642	0.5967	0.8761	0.1715	0.9999	0.3216	0.8667	local-2026-03-29	137377	discard	exp #40
none	0.6003	1	0.6165	0.7168	0.5660	0.2563	0.5987	0.8593	0.1701	0.9999	0.3216	0.8667	local-2026-03-29	136166	discard	exp #41
none	0.6040	1	0.6191	0.7181	0.5726	0.2640	0.5981	0.8839	0.1689	0.9999	0.3216	0.8667	local-2026-03-29	137062	discard	exp #42
none	0.6020	1	0.6218	0.7165	0.5685	0.2604	0.5986	0.8650	0.1703	0.9999	0.3216	0.8667	local-2026-03-29	135293	discard	exp #43
none	0.6003	1	0.6109	0.7154	0.5671	0.2584	0.5979	0.8677	0.1690	0.9999	0.3216	0.8667	local-2026-03-29	137353	discard	exp #44
none	0.6004	1	0.6131	0.7170	0.5716	0.2614	0.5963	0.8528	0.1716	0.9999	0.3216	0.8667	local-2026-03-29	137102	discard	exp #45
none	0.5994	1	0.6141	0.6952	0.5685	0.2581	0.5997	0.8772	0.1690	0.9999	0.3216	0.8667	local-2026-03-29	137817	discard	exp #46
none	0.6005	1	0.6183	0.7147	0.5632	0.2566	0.5992	0.8689	0.1677	0.9999	0.3216	0.8667	local-2026-03-29	135199	discard	exp #47
none	0.6009	1	0.6173	0.7211	0.5682	0.2572	0.5969	0.8567	0.1706	0.9999	0.3216	0.8667	local-2026-03-29	138371	discard	exp #48
none	0.6043	1	0.6218	0.7184	0.5727	0.2619	0.5986	0.8835	0.1699	0.9999	0.3216	0.8667	local-2026-03-29	138051	discard	exp #49
none	0.6011	1	0.6167	0.7070	0.5712	0.2594	0.5998	0.8719	0.1698	0.9999	0.3216	0.8667	local-2026-03-29	137220	discard	exp #50
none	0.6026	1	0.6149	0.7209	0.5745	0.2638	0.5970	0.8647	0.1714	0.9999	0.3216	0.8667	local-2026-03-29	137169	discard	exp #51
none	0.6003	1	0.6173	0.7038	0.5700	0.2608	0.5973	0.8677	0.1702	0.9999	0.3216	0.8667	local-2026-03-29	136767	discard	exp #52
none	0.5983	1	0.6133	0.6951	0.5673	0.2606	0.5968	0.8684	0.1683	0.9999	0.3216	0.8667	local-2026-03-29	137284	discard	exp #53
none	0.6063	1	0.6198	0.7372	0.5759	0.2658	0.5970	0.8769	0.1697	0.9999	0.3216	0.8667	local-2026-03-29	138358	discard	exp #54
none	0.6017	1	0.6183	0.7168	0.5712	0.2598	0.5970	0.8650	0.1704	0.9999	0.3216	0.8667	local-2026-03-29	141619	discard	exp #55
none	0.6024	1	0.6173	0.7166	0.5767	0.2648	0.5959	0.8620	0.1714	0.9999	0.3216	0.8667	local-2026-03-29	135442	discard	exp #56
none	0.6053	1	0.6226	0.7167	0.5762	0.2649	0.5975	0.8897	0.1700	0.9999	0.3216	0.8667	local-2026-03-29	136217	discard	exp #57
none	0.6032	1	0.6208	0.7176	0.5740	0.2621	0.5996	0.8681	0.1718	0.9999	0.3216	0.8667	local-2026-03-29	141415	discard	exp #58
